Timestamp, lowerLink1, lowerLink2, lowerLink3, lowerLink4, upperLink1, upperLink2, upperLink3, upperLink4, gripLowerR, gripLowerL, gripUpperR, gripUpperL
0.05, 0, 0, 0.03, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0.09999999, -0.1050339, 0.1409353, 0.05498235, -0.0006981317, 0.09063494, -0.134722, 0.01967022, 0.002565634, -0.009390145, 0.009322575, -0.009541699, 0.008596435, 
0.15, -0.1807463, 0.2371902, 0.07351844, -0.001884956, 0.1217542, -0.1785123, 0.03901538, 0.007138397, -0.01673086, 0.0168102, -0.01763262, 0.01595072, 
0.2, -0.2513623, 0.3111922, 0.09085836, -0.001762783, 0.1788613, -0.2095791, 0.05631658, 0.009005899, -0.02329882, 0.02322731, -0.0243752, 0.02209318, 
0.25, -0.3313158, 0.3934845, 0.1057301, -0.001413717, 0.2719398, -0.2992541, 0.07175906, 0.009145525, -0.02858125, 0.02848839, -0.02983363, 0.02718824, 
0.3, -0.4019493, 0.4595277, 0.1174945, -0.001204277, 0.3482106, -0.3744429, 0.08373649, 0.00970403, -0.03296891, 0.03288537, -0.03452451, 0.03128658, 
0.35, -0.462966, 0.5144184, 0.1273859, -0.001012291, 0.4182158, -0.4408004, 0.09360415, 0.008796459, -0.03662525, 0.03655349, -0.03809156, 0.03504945, 
0.4, -0.5151688, 0.5593431, 0.1357597, -0.0008552113, 0.4760211, -0.4963367, 0.1024533, 0.008639379, -0.03967478, 0.03961388, -0.04123807, 0.03801869, 
0.45, -0.5591511, 0.5966408, 0.142818, -0.000715585, 0.5240351, -0.5430243, 0.110286, 0.009040806, -0.04221731, 0.04216693, -0.04402811, 0.04033059, 
0.5, -0.5961696, 0.6277425, 0.1487621, -0.000593412, 0.5637239, -0.5826258, 0.1171869, 0.009843657, -0.0443372, 0.04429645, -0.04650256, 0.04211209, 
0.55, -0.6270619, 0.6536258, 0.1537595, -0.0005061455, 0.5966932, -0.6165027, 0.123234, 0.01094321, -0.04610468, 0.04607339, -0.04869223, 0.04347231, 
0.6, -0.652788, 0.6751457, 0.1579551, -0.000418879, 0.6239901, -0.6454053, 0.128443, 0.01206023, -0.04757891, 0.04755696, -0.05058587, 0.04453954, 
0.65, -0.6747443, 0.6935415, 0.1614374, -0.0003490658, 0.6493497, -0.6689847, 0.131722, 0.01043707, -0.04880845, 0.04879558, -0.05141242, 0.04617974, 
0.7, -0.6931924, 0.7086386, 0.1643996, -0.000296706, 0.6706602, -0.6888291, 0.1347103, 0.009337512, -0.04983497, 0.04982702, -0.0521836, 0.04746747, 
0.7500001, -0.708464, 0.7212049, 0.1668856, -0.0002443461, 0.6887069, -0.7054796, 0.1373147, 0.008639379, -0.05069189, 0.05068805, -0.05289999, 0.04847009, 
0.8000001, -0.7211003, 0.7317641, 0.1689543, -0.0002094395, 0.7037342, -0.7194422, 0.1395522, 0.008237954, -0.05140567, 0.05140616, -0.05355528, 0.04924946, 
0.8500001, -0.7316245, 0.7405781, 0.1706797, -0.0001745329, 0.716126, -0.731258, 0.1414912, 0.008045968, -0.05200086, 0.05200489, -0.05414966, 0.04985195, 
0.9000001, -0.7403686, 0.7479085, 0.1721199, -0.0001396263, 0.7262838, -0.7413111, 0.1431714, 0.008011061, -0.05249724, 0.05250403, -0.05468524, 0.05031472, 
0.9500001, -0.7476292, 0.7540346, 0.1733219, -0.0001047198, 0.7345917, -0.7498807, 0.1446215, 0.008080875, -0.05291127, 0.05292001, -0.05500004, 0.05066831, 
1, -0.7536681, 0.7591135, 0.1743247, -8.726646E-05, 0.7413984, -0.7571588, 0.1458684, 0.0082205, -0.05325646, 0.05326675, -0.05500005, 0.05093681, 
1.05, -0.7586772, 0.7633721, 0.1751607, -5.235988E-05, 0.746966, -0.7633547, 0.1469392, 0.008395034, -0.05354434, 0.05355585, -0.05499997, 0.05113872, 
1.1, -0.7628311, 0.7668976, 0.1758573, -3.490658E-05, 0.7515213, -0.7686256, 0.1478546, 0.008604473, -0.05378429, 0.05379697, -0.055, 0.05129046, 
1.15, -0.7662693, 0.7698473, 0.1764381, -1.745329E-05, 0.7552563, -0.7731285, 0.1486381, 0.008813913, -0.05398439, 0.05399777, -0.055, 0.05140219, 
1.2, -0.7691317, 0.7723082, 0.1769219, 0, 0.7583107, -0.7769507, 0.1493075, 0.009040806, -0.05415118, 0.05416504, -0.05499999, 0.05148304, 
1.25, -0.7715228, 0.7743677, 0.1773247, 0, 0.7608239, -0.7801971, 0.1498785, 0.009250244, -0.05429026, 0.05430438, -0.05500001, 0.05154036, 
1.3, -0.773495, 0.7760606, 0.1776606, 0, 0.7628834, -0.7829547, 0.1499998, 0.009459685, -0.05440614, 0.05442034, -0.05499999, 0.05157977, 
1.35, -0.7751356, 0.7774918, 0.1779401, 1.745329E-05, 0.7645589, -0.7852934, 0.1499997, 0.00965167, -0.05450276, 0.05451704, -0.05500003, 0.05160589, 
1.4, -0.776497, 0.7786787, 0.1781728, 1.745329E-05, 0.7659377, -0.7872831, 0.1499997, 0.009826204, -0.05458323, 0.05459758, -0.05500003, 0.05162233, 
1.45, -0.777614, 0.7796561, 0.1783665, 3.490658E-05, 0.7670722, -0.7889761, 0.15, 0.009983283, -0.05465035, 0.05466464, -0.05500001, 0.05163133, 
1.5, -0.7785565, 0.7804938, 0.178528, 3.490658E-05, 0.7679972, -0.7904072, 0.1499998, 0.01014036, -0.05470631, 0.05472052, -0.05500004, 0.05163509, 
1.55, -0.7793419, 0.7811744, 0.1786624, 3.490658E-05, 0.7687652, -0.7916115, 0.1499998, 0.01027999, -0.05475301, 0.05476706, -0.05500001, 0.05163523, 
1.6, -0.7799876, 0.7817504, 0.178774, 3.490658E-05, 0.7693935, -0.7926413, 0.15, 0.01038471, -0.05479183, 0.05480588, -0.05500005, 0.05163276, 
1.649999, -0.7805113, 0.7822217, 0.1788672, 5.235988E-05, 0.7698996, -0.793514, 0.1499997, 0.01050688, -0.05482423, 0.05483812, -0.05499998, 0.05162866, 
1.699999, -0.780965, 0.7826231, 0.1789447, 5.235988E-05, 0.770336, -0.794247, 0.15, 0.01059415, -0.05485118, 0.0548651, -0.05500001, 0.05162337, 
1.749999, -0.7813315, 0.7829547, 0.1790093, 5.235988E-05, 0.7706851, -0.7948579, 0.1499998, 0.01068141, -0.05487379, 0.05488744, -0.05500008, 0.0516176, 
1.799999, -0.7816283, 0.7832339, 0.1790628, 5.235988E-05, 0.7709643, -0.7953814, 0.1499997, 0.01075123, -0.0548925, 0.05490613, -0.05500002, 0.05161168, 
1.849999, -0.78189, 0.7834609, 0.1791075, 5.235988E-05, 0.7711912, -0.7958352, 0.1499998, 0.01082104, -0.05490809, 0.05492178, -0.05500002, 0.05160572, 
1.899999, -0.7820995, 0.7836528, 0.1791449, 5.235988E-05, 0.7713832, -0.7962018, 0.1499998, 0.0108734, -0.05492117, 0.05493468, -0.05500004, 0.05159988, 
1.949999, -0.782274, 0.7838099, 0.1791758, 5.235988E-05, 0.7715403, -0.7965333, 0.1499998, 0.01092576, -0.05493204, 0.0549455, -0.05499994, 0.05159439, 
1.999999, -0.7824136, 0.7839496, 0.1792015, 5.235988E-05, 0.7716799, -0.7967951, 0.1499998, 0.01096067, -0.05494104, 0.05495447, -0.05500006, 0.05158924, 
2.049999, -0.7825358, 0.7840543, 0.179223, 5.235988E-05, 0.7717846, -0.797022, 0.15, 0.01099557, -0.05494863, 0.05496199, -0.05499997, 0.05158457, 
2.099999, -0.7826405, 0.7841415, 0.1792408, 5.235988E-05, 0.7718718, -0.797214, 0.1499998, 0.01103048, -0.05495486, 0.05496828, -0.05500001, 0.05158027, 
2.149999, -0.7827278, 0.7842287, 0.1792556, 5.235988E-05, 0.7719417, -0.7973711, 0.1499997, 0.01106539, -0.05496015, 0.05497351, -0.05500005, 0.05157629, 
