Timestamp, lowerLink1, lowerLink2, lowerLink3, lowerLink4, upperLink1, upperLink2, upperLink3, upperLink4, gripLowerR, gripLowerL, gripUpperR, gripUpperL,
0.05,-0.7674,0.7786,0.1098,0.5945,0.7866,-0.7999,0.1473,-0.0320,-0.0493,0.0463,-0.0539,-0.0549, 
0.09999999,-0.7654,0.7813,0.1164,0.4956,0.7905,-0.8027,0.1470,-0.0408,-0.0506,0.0481,-0.0537,-0.0550, 
0.15,-0.7650,0.7829,0.1219,0.4131,0.7936,-0.8052,0.1467,-0.0481,-0.0516,0.0495,-0.0535,-0.0550, 
0.2,-0.7656,0.7838,0.1265,0.3444,0.7986,-0.8093,0.1464,-0.0585,-0.0524,0.0506,-0.0533,-0.0550, 
0.25,-0.7665,0.7843,0.1303,0.2871,0.8024,-0.8131,0.1462,-0.0671,-0.0530,0.0515,-0.0532,-0.0550, 
0.3,-0.7675,0.7845,0.1335,0.2393,0.8051,-0.8164,0.1461,-0.0744,-0.0534,0.0522,-0.0531,-0.0550, 
0.35,-0.7687,0.7845,0.1362,0.1995,0.8073,-0.8192,0.1460,-0.0804,-0.0537,0.0527,-0.0530,-0.0550, 
0.4,-0.7699,0.7844,0.1384,0.1662,0.8089,-0.8216,0.1459,-0.0854,-0.0540,0.0531,-0.0529,-0.0550, 
0.45,-0.7712,0.7842,0.1402,0.1386,0.8127,-0.8257,0.1458,-0.0938,-0.0542,0.0535,-0.0529,-0.0550, 
0.5,-0.7722,0.7840,0.1417,0.1155,0.8154,-0.8294,0.1458,-0.1008,-0.0543,0.0537,-0.0528,-0.0550, 
0.55,-0.7732,0.7838,0.1430,0.0963,0.8173,-0.8327,0.1457,-0.1067,-0.0545,0.0540,-0.0528,-0.0550, 
0.6,-0.7741,0.7836,0.1441,0.0803,0.8186,-0.8355,0.1457,-0.1116,-0.0545,0.0541,-0.0527,-0.0550, 
0.65,-0.7750,0.7833,0.1449,0.0669,0.8196,-0.8380,0.1457,-0.1157,-0.0546,0.0543,-0.0527,-0.0550, 
0.7,-0.7759,0.7831,0.1457,0.0558,0.8231,-0.8423,0.1456,-0.1239,-0.0547,0.0544,-0.0527,-0.0550, 
0.7500001,-0.7765,0.7828,0.1463,0.0465,0.8256,-0.8463,0.1456,-0.1308,-0.0547,0.0545,-0.0527,-0.0550, 
0.8000001,-0.7770,0.7826,0.1468,0.0387,0.8274,-0.8499,0.1457,-0.1365,-0.0548,0.0546,-0.0527,-0.0550, 
0.8500001,-0.7775,0.7823,0.1472,0.0323,0.8285,-0.8531,0.1457,-0.1412,-0.0548,0.0546,-0.0527,-0.0550, 
0.9000001,-0.7780,0.7821,0.1476,0.0269,0.8294,-0.8558,0.1457,-0.1452,-0.0548,0.0547,-0.0527,-0.0550, 
0.9500001,-0.7813,0.7841,0.1479,0.0264,0.8331,-0.8604,0.1457,-0.1534,-0.0548,0.0547,-0.0527,-0.0550, 
1,-0.7832,0.7863,0.1481,0.0260,0.8354,-0.8647,0.1457,-0.1603,-0.0548,0.0548,-0.0527,-0.0550, 
1.05,-0.7845,0.7883,0.1483,0.0256,0.8369,-0.8684,0.1457,-0.1661,-0.0548,0.0548,-0.0527,-0.0550, 
1.1,-0.7853,0.7900,0.1485,0.0254,0.8379,-0.8716,0.1458,-0.1708,-0.0549,0.0548,-0.0527,-0.0550, 
1.15,-0.7858,0.7916,0.1486,0.0252,0.8386,-0.8744,0.1458,-0.1748,-0.0549,0.0548,-0.0527,-0.0550, 
1.2,-0.7891,0.7951,0.1487,0.0289,0.8422,-0.8790,0.1458,-0.1830,-0.0549,0.0548,-0.0527,-0.0550, 
1.25,-0.7910,0.7986,0.1488,0.0321,0.8444,-0.8833,0.1458,-0.1899,-0.0549,0.0549,-0.0527,-0.0550, 
1.3,-0.7922,0.8016,0.1489,0.0348,0.8458,-0.8870,0.1459,-0.1957,-0.0549,0.0549,-0.0527,-0.0550, 
1.35,-0.7929,0.8043,0.1490,0.0370,0.8467,-0.8903,0.1459,-0.2004,-0.0549,0.0549,-0.0528,-0.0550, 
1.4,-0.7934,0.8066,0.1490,0.0389,0.8473,-0.8930,0.1460,-0.2044,-0.0549,0.0549,-0.0528,-0.0550, 
1.45,-0.7966,0.8109,0.1491,0.0444,0.8508,-0.8977,0.1460,-0.2126,-0.0549,0.0549,-0.0528,-0.0550, 
1.5,-0.7984,0.8149,0.1491,0.0490,0.8529,-0.9020,0.1460,-0.2195,-0.0549,0.0549,-0.0528,-0.0550, 
1.55,-0.7994,0.8184,0.1491,0.0529,0.8543,-0.9057,0.1460,-0.2253,-0.0549,0.0549,-0.0528,-0.0550, 
1.6,-0.8001,0.8215,0.1492,0.0561,0.8552,-0.9090,0.1461,-0.2301,-0.0549,0.0549,-0.0529,-0.0550, 
1.649999,-0.8005,0.8241,0.1492,0.0588,0.8558,-0.9117,0.1461,-0.2340,-0.0549,0.0549,-0.0529,-0.0550, 
1.699999,-0.8037,0.8286,0.1492,0.0650,0.8593,-0.9164,0.1461,-0.2422,-0.0549,0.0549,-0.0529,-0.0550, 
1.749999,-0.8054,0.8328,0.1492,0.0702,0.8614,-0.9207,0.1462,-0.2491,-0.0549,0.0549,-0.0529,-0.0550, 
1.799999,-0.8064,0.8366,0.1492,0.0746,0.8627,-0.9245,0.1462,-0.2549,-0.0549,0.0549,-0.0529,-0.0550, 
1.849999,-0.8070,0.8398,0.1493,0.0782,0.8636,-0.9277,0.1462,-0.2597,-0.0549,0.0549,-0.0530,-0.0550, 
1.899999,-0.8074,0.8426,0.1493,0.0812,0.8641,-0.9305,0.1463,-0.2636,-0.0549,0.0549,-0.0530,-0.0550, 
1.949999,-0.8106,0.8473,0.1493,0.0879,0.8676,-0.9352,0.1463,-0.2719,-0.0549,0.0549,-0.0530,-0.0550, 
1.999999,-0.8124,0.8517,0.1493,0.0935,0.8697,-0.9395,0.1463,-0.2787,-0.0549,0.0549,-0.0530,-0.0550, 
2.049999,-0.8134,0.8556,0.1493,0.0981,0.8710,-0.9433,0.1464,-0.2845,-0.0549,0.0549,-0.0531,-0.0550, 
2.099999,-0.8140,0.8590,0.1493,0.1020,0.8719,-0.9465,0.1464,-0.2893,-0.0549,0.0549,-0.0531,-0.0550, 
2.149999,-0.8144,0.8619,0.1493,0.1053,0.8725,-0.9493,0.1465,-0.2933,-0.0549,0.0549,-0.0531,-0.0550, 
2.199999,-0.8214,0.8699,0.1493,0.1175,0.8762,-0.9541,0.1465,-0.3015,-0.0549,0.0549,-0.0531,-0.0550, 
2.249999,-0.8254,0.8776,0.1493,0.1278,0.8783,-0.9584,0.1465,-0.3084,-0.0549,0.0549,-0.0532,-0.0550, 
2.299999,-0.8277,0.8846,0.1493,0.1365,0.8796,-0.9622,0.1466,-0.3141,-0.0549,0.0549,-0.0532,-0.0550, 
2.349999,-0.8290,0.8906,0.1493,0.1437,0.8805,-0.9655,0.1466,-0.3188,-0.0549,0.0549,-0.0532,-0.0550, 
2.399999,-0.8298,0.8959,0.1493,0.1497,0.8810,-0.9683,0.1467,-0.3228,-0.0549,0.0549,-0.0533,-0.0550, 
2.449999,-0.8371,0.9059,0.1493,0.1643,0.8847,-0.9730,0.1467,-0.3310,-0.0549,0.0549,-0.0533,-0.0550, 
2.499999,-0.8413,0.9153,0.1493,0.1765,0.8868,-0.9774,0.1467,-0.3379,-0.0549,0.0550,-0.0533,-0.0550, 
2.549999,-0.8437,0.9237,0.1493,0.1868,0.8881,-0.9812,0.1468,-0.3436,-0.0549,0.0550,-0.0534,-0.0550, 
2.599999,-0.8451,0.9309,0.1493,0.1953,0.8889,-0.9845,0.1468,-0.3483,-0.0549,0.0550,-0.0534,-0.0550, 
2.649999,-0.8459,0.9372,0.1493,0.2025,0.8894,-0.9873,0.1469,-0.3523,-0.0549,0.0550,-0.0535,-0.0550, 
2.699999,-0.8465,0.9424,0.1493,0.2085,0.8898,-0.9897,0.1469,-0.3556,-0.0549,0.0550,-0.0535,-0.0550, 
2.749999,-0.8555,0.9542,0.1493,0.2257,0.8935,-0.9941,0.1470,-0.3632,-0.0549,0.0550,-0.0535,-0.0550, 
2.799999,-0.8607,0.9651,0.1493,0.2402,0.8954,-0.9982,0.1470,-0.3696,-0.0549,0.0550,-0.0536,-0.0550, 
2.849998,-0.8636,0.9750,0.1493,0.2524,0.8966,-1.0018,0.1471,-0.3749,-0.0550,0.0550,-0.0536,-0.0550, 
2.899998,-0.8653,0.9836,0.1493,0.2625,0.8973,-1.0049,0.1471,-0.3793,-0.0550,0.0550,-0.0537,-0.0550, 
2.949998,-0.8757,0.9988,0.1492,0.2842,0.9013,-1.0100,0.1472,-0.3878,-0.0550,0.0550,-0.0538,-0.0550, 
2.999998,-0.8817,1.0129,0.1492,0.3024,0.9034,-1.0147,0.1473,-0.3950,-0.0550,0.0550,-0.0538,-0.0550, 
3.049998,-0.8851,1.0254,0.1492,0.3177,0.9046,-1.0188,0.1473,-0.4009,-0.0550,0.0550,-0.0539,-0.0550, 
3.099998,-0.8870,1.0362,0.1492,0.3304,0.9054,-1.0223,0.1474,-0.4058,-0.0550,0.0550,-0.0540,-0.0550, 
3.149998,-0.8883,1.0455,0.1493,0.3411,0.9059,-1.0254,0.1475,-0.4099,-0.0550,0.0550,-0.0540,-0.0550, 
3.199998,-0.8993,1.0620,0.1492,0.3645,0.9098,-1.0303,0.1475,-0.4182,-0.0550,0.0550,-0.0541,-0.0550, 
3.249998,-0.9057,1.0773,0.1492,0.3842,0.9117,-1.0349,0.1476,-0.4251,-0.0550,0.0550,-0.0542,-0.0550, 
3.299998,-0.9093,1.0908,0.1492,0.4007,0.9129,-1.0390,0.1477,-0.4309,-0.0550,0.0550,-0.0543,-0.0550, 
3.349998,-0.9114,1.1026,0.1492,0.4145,0.9137,-1.0424,0.1478,-0.4356,-0.0550,0.0550,-0.0543,-0.0550, 
3.399998,-0.9127,1.1126,0.1492,0.4260,0.9141,-1.0454,0.1478,-0.4396,-0.0550,0.0550,-0.0544,-0.0550, 
3.449998,-0.9251,1.1309,0.1492,0.4520,0.9181,-1.0503,0.1479,-0.4478,-0.0550,0.0550,-0.0545,-0.0550, 
3.499998,-0.9322,1.1478,0.1492,0.4739,0.9200,-1.0549,0.1480,-0.4547,-0.0550,0.0550,-0.0545,-0.0550, 
3.549998,-0.9362,1.1629,0.1492,0.4923,0.9212,-1.0589,0.1481,-0.4603,-0.0550,0.0550,-0.0546,-0.0550, 
3.599998,-0.9386,1.1759,0.1492,0.5076,0.9220,-1.0623,0.1481,-0.4650,-0.0550,0.0550,-0.0547,-0.0549, 
3.649998,-0.9401,1.1870,0.1492,0.5203,0.9224,-1.0653,0.1482,-0.4689,-0.0550,0.0550,-0.0548,-0.0549, 
3.699998,-0.9515,1.2054,0.1492,0.5459,0.9262,-1.0702,0.1483,-0.4771,-0.0550,0.0550,-0.0549,-0.0548, 
3.749998,-0.9580,1.2222,0.1492,0.5674,0.9281,-1.0748,0.1484,-0.4839,-0.0550,0.0550,-0.0549,-0.0548, 
3.799998,-0.9617,1.2371,0.1492,0.5854,0.9293,-1.0789,0.1485,-0.4895,-0.0550,0.0550,-0.0550,-0.0547, 
3.849998,-0.9639,1.2499,0.1492,0.6004,0.9300,-1.0823,0.1486,-0.4942,-0.0550,0.0550,-0.0550,-0.0546, 
3.899997,-0.9653,1.2608,0.1492,0.6130,0.9304,-1.0853,0.1486,-0.4980,-0.0550,0.0550,-0.0550,-0.0546, 
3.949997,-0.9757,1.2783,0.1492,0.6370,0.9342,-1.0902,0.1487,-0.5061,-0.0550,0.0550,-0.0550,-0.0545, 
3.999997,-0.9816,1.2942,0.1492,0.6572,0.9361,-1.0948,0.1488,-0.5129,-0.0550,0.0550,-0.0550,-0.0544, 
4.049997,-0.9850,1.3082,0.1492,0.6741,0.9373,-1.0988,0.1489,-0.5186,-0.0550,0.0550,-0.0550,-0.0544, 
4.099998,-0.9870,1.3203,0.1492,0.6882,0.9380,-1.1023,0.1489,-0.5232,-0.0550,0.0550,-0.0550,-0.0543, 
4.149998,-0.9883,1.3305,0.1492,0.7000,0.9384,-1.1052,0.1490,-0.5271,-0.0550,0.0550,-0.0550,-0.0542, 
4.199998,-0.9979,1.3468,0.1492,0.7223,0.9421,-1.1102,0.1491,-0.5352,-0.0550,0.0550,-0.0550,-0.0541, 
4.249998,-1.0034,1.3616,0.1492,0.7411,0.9441,-1.1147,0.1492,-0.5420,-0.0550,0.0550,-0.0550,-0.0541, 
4.299998,-1.0064,1.3747,0.1492,0.7568,0.9453,-1.1187,0.1492,-0.5477,-0.0550,0.0550,-0.0550,-0.0540, 
4.349998,-1.0083,1.3859,0.1492,0.7699,0.9460,-1.1221,0.1493,-0.5524,-0.0550,0.0550,-0.0550,-0.0539, 
4.399999,-1.0094,1.3955,0.1492,0.7809,0.9465,-1.1250,0.1494,-0.5563,-0.0550,0.0550,-0.0550,-0.0539, 
4.449999,-1.0171,1.4095,0.1492,0.7998,0.9501,-1.1299,0.1494,-0.5644,-0.0550,0.0550,-0.0550,-0.0538, 
4.499999,-1.0214,1.4222,0.1492,0.8157,0.9521,-1.1345,0.1495,-0.5712,-0.0550,0.0550,-0.0550,-0.0537, 
4.549999,-1.0239,1.4333,0.1492,0.8290,0.9533,-1.1384,0.1496,-0.5768,-0.0550,0.0550,-0.0550,-0.0537, 
4.599999,-1.0253,1.4428,0.1492,0.8401,0.9540,-1.1418,0.1496,-0.5816,-0.0550,0.0550,-0.0550,-0.0536, 
4.65,-1.0263,1.4509,0.1492,0.8493,0.9545,-1.1447,0.1497,-0.5855,-0.0550,0.0550,-0.0550,-0.0535, 
4.7,-1.0337,1.4636,0.1492,0.8666,0.9582,-1.1496,0.1497,-0.5936,-0.0550,0.0550,-0.0550,-0.0535, 
4.75,-1.0378,1.4751,0.1492,0.8812,0.9602,-1.1542,0.1498,-0.6004,-0.0550,0.0550,-0.0550,-0.0534, 
4.8,-1.0401,1.4853,0.1492,0.8935,0.9614,-1.1581,0.1499,-0.6061,-0.0550,0.0550,-0.0550,-0.0534, 
4.85,-1.0415,1.4940,0.1492,0.9036,0.9622,-1.1615,0.1499,-0.6108,-0.0550,0.0550,-0.0550,-0.0533, 
4.900001,-1.0424,1.5014,0.1492,0.9121,0.9627,-1.1644,0.1500,-0.6147,-0.0550,0.0550,-0.0550,-0.0532, 
4.950001,-1.0462,1.5103,0.1492,0.9237,0.9661,-1.1693,0.1500,-0.6229,-0.0550,0.0550,-0.0550,-0.0532, 
5.000001,-1.0483,1.5183,0.1492,0.9333,0.9681,-1.1738,0.1500,-0.6297,-0.0550,0.0550,-0.0550,-0.0531, 
5.050001,-1.0495,1.5251,0.1492,0.9414,0.9694,-1.1777,0.1500,-0.6354,-0.0550,0.0550,-0.0550,-0.0531, 
5.100001,-1.0502,1.5310,0.1492,0.9482,0.9702,-1.1810,0.1500,-0.6401,-0.0550,0.0550,-0.0550,-0.0530, 
5.150002,-1.0507,1.5359,0.1492,0.9538,0.9708,-1.1839,0.1500,-0.6441,-0.0550,0.0550,-0.0550,-0.0530, 
5.200002,-1.0539,1.5425,0.1492,0.9625,0.9742,-1.1887,0.1500,-0.6522,-0.0550,0.0550,-0.0550,-0.0530, 
5.250002,-1.0556,1.5484,0.1492,0.9697,0.9762,-1.1931,0.1500,-0.6591,-0.0550,0.0550,-0.0550,-0.0529, 
5.300002,-1.0565,1.5535,0.1492,0.9758,0.9775,-1.1970,0.1500,-0.6648,-0.0550,0.0550,-0.0550,-0.0529, 
5.350002,-1.0571,1.5579,0.1492,0.9809,0.9784,-1.2004,0.1500,-0.6696,-0.0550,0.0550,-0.0550,-0.0528, 
5.400002,-1.0575,1.5616,0.1492,0.9851,0.9790,-1.2032,0.1500,-0.6735,-0.0550,0.0549,-0.0550,-0.0528, 
5.450003,-1.0606,1.5671,0.1492,0.9926,0.9825,-1.2080,0.1500,-0.6817,-0.0550,0.0549,-0.0550,-0.0528, 
5.500003,-1.0622,1.5721,0.1492,0.9989,0.9846,-1.2124,0.1500,-0.6886,-0.0550,0.0549,-0.0550,-0.0527, 
5.550003,-1.0631,1.5765,0.1492,1.0041,0.9859,-1.2163,0.1500,-0.6943,-0.0550,0.0549,-0.0550,-0.0527, 
5.600003,-1.0637,1.5803,0.1492,1.0085,0.9868,-1.2196,0.1500,-0.6991,-0.0550,0.0549,-0.0550,-0.0527, 
5.650003,-1.0640,1.5835,0.1492,1.0122,0.9874,-1.2224,0.1500,-0.7031,-0.0550,0.0549,-0.0550,-0.0526, 
5.700004,-1.0671,1.5886,0.1492,1.0192,0.9909,-1.2272,0.1500,-0.7112,-0.0550,0.0549,-0.0550,-0.0526, 
5.750004,-1.0688,1.5933,0.1492,1.0251,0.9930,-1.2317,0.1500,-0.7181,-0.0550,0.0549,-0.0550,-0.0526, 
5.800004,-1.0697,1.5973,0.1492,1.0300,0.9943,-1.2355,0.1500,-0.7239,-0.0550,0.0549,-0.0550,-0.0525, 
5.850004,-1.0702,1.6009,0.1492,1.0342,0.9953,-1.2389,0.1500,-0.7286,-0.0550,0.0549,-0.0550,-0.0525, 
5.900004,-1.0705,1.6037,0.1492,1.0376,0.9962,-1.2419,0.1500,-0.7326,-0.0550,0.0549,-0.0550,-0.0525, 
5.950005,-1.0736,1.6086,0.1492,1.0444,1.0000,-1.2469,0.1500,-0.7407,-0.0550,0.0549,-0.0550,-0.0524, 
6.000005,-1.0751,1.6131,0.1492,1.0502,1.0024,-1.2515,0.1500,-0.7476,-0.0550,0.0549,-0.0550,-0.0524, 
6.050005,-1.0759,1.6171,0.1492,1.0550,1.0040,-1.2555,0.1500,-0.7533,-0.0550,0.0549,-0.0550,-0.0524, 
6.100005,-1.0764,1.6205,0.1492,1.0590,1.0051,-1.2589,0.1500,-0.7581,-0.0550,0.0549,-0.0550,-0.0523, 
6.150005,-1.0768,1.6233,0.1492,1.0623,1.0059,-1.2618,0.1500,-0.7620,-0.0550,0.0549,-0.0550,-0.0523, 
6.200006,-1.0772,1.6258,0.1492,1.0653,1.0093,-1.2666,0.1500,-0.7702,-0.0550,0.0549,-0.0550,-0.0523, 
6.250006,-1.0773,1.6279,0.1492,1.0677,1.0116,-1.2711,0.1500,-0.7771,-0.0550,0.0549,-0.0550,-0.0522, 
6.300006,-1.0774,1.6296,0.1492,1.0697,1.0130,-1.2750,0.1500,-0.7828,-0.0550,0.0549,-0.0550,-0.0522, 
