Timestamp, lowerLink1, lowerLink2, lowerLink3, lowerLink4, upperLink1, upperLink2, upperLink3, upperLink4, gripLowerR, gripLowerL, gripUpperR, gripUpperL,
0.1,-0.7183,0.7635,0.145,0.0004363323,0.7070,-0.7559,0.146,-0.003996804,-0.0519,0.0550,-0.0543,0.0522, 
0.2,-0.7183,0.7635,0.145,0.0004363323,0.7070,-0.7559,0.146,-0.003996804,-0.0519,0.0550,-0.0543,0.0522, 
0.3,-0.7183,0.7635,0.145,0.0004363323,0.7070,-0.7559,0.146,-0.003996804,-0.0519,0.0550,-0.0543,0.0522, 
0.4,-0.7183,0.7635,0.145,0.0004363323,0.7070,-0.7559,0.146,-0.003996804,-0.0519,0.0550,-0.0543,0.0522, 
0.5,-0.7183,0.7635,0.145,0.0004363323,0.7070,-0.7559,0.146,-0.003996804,-0.0519,0.0550,-0.0543,0.0522, 
0.6,-0.7183,0.7635,0.145,0.0004363323,0.7070,-0.7559,0.146,-0.003996804,-0.0519,0.0550,-0.0543,0.0522, 
0.7,-0.7529,0.7783,0.148,-0.0001047198,0.7155,-0.7664,0.148,-0.003996804,-0.0535,0.0548,-0.0550,0.0530, 
0.8000001,-0.7699,0.7886,0.148,-0.01214749,0.7331,-0.7791,0.149,-0.004415683,-0.0542,0.0549,-0.0550,0.0532, 
0.9000001,-0.7808,0.7996,0.149,-0.03005457,0.7646,-0.7938,0.150,0.007574729,-0.0546,0.0550,-0.0550,0.0533, 
1,-0.7983,0.8148,0.149,-0.05117305,0.7889,-0.8048,0.149,0.02815216,-0.0547,0.0549,-0.0550,0.0541, 
1.1,-0.8178,0.8273,0.149,-0.07386233,0.8020,-0.8255,0.149,0.05003859,-0.0549,0.0549,-0.0550,0.0543, 
1.2,-0.8307,0.8408,0.149,-0.09759881,0.8185,-0.8465,0.149,0.07346091,-0.0549,0.0549,-0.0550,0.0544, 
1.3,-0.8545,0.8723,0.150,-0.1387711,0.8339,-0.8596,0.150,0.09745919,-0.0549,0.0549,-0.0550,0.0544, 
