%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.name6,field.name7,field.name8,field.name9,field.name10,field.name11,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.position6,field.position7,field.position8,field.position9,field.position10,field.position11
1650372807835131064,990,1650372807834584236,,duarolower_joint1,duarolower_joint2,duarolower_joint3,duarolower_joint4,duaroupper_joint1,duaroupper_joint2,duaroupper_joint3,duaroupper_joint4,lower_gripper_finger_left_joint,lower_gripper_finger_right_joint,upper_gripper_finger_left_joint,upper_gripper_finger_right_joint,-0.7799705799995457,0.7799150931207464,0.1499705357313156,-2.237260364927352e-05,0.7800526502235328,-0.7799916932259686,0.14990790361803957,2.801687526516617e-05,-0.054928927364153786,0.05490712586226873,-0.05493362727239728,0.054926406799280084
1650372807935144081,991,1650372807934614181,,duarolower_joint1,duarolower_joint2,duarolower_joint3,duarolower_joint4,duaroupper_joint1,duaroupper_joint2,duaroupper_joint3,duaroupper_joint4,lower_gripper_finger_left_joint,lower_gripper_finger_right_joint,upper_gripper_finger_left_joint,upper_gripper_finger_right_joint,-0.7799705799995457,0.7799150931207464,0.1499705357313156,-2.237260364927352e-05,0.7800526502235328,-0.7799916932259686,0.14990790361803957,2.801687526516617e-05,-0.054928927364153786,0.05490712586226873,-0.05493362727239728,0.054926406799280084
1650372808035267455,992,1650372808034629821,,duarolower_joint1,duarolower_joint2,duarolower_joint3,duarolower_joint4,duaroupper_joint1,duaroupper_joint2,duaroupper_joint3,duaroupper_joint4,lower_gripper_finger_left_joint,lower_gripper_finger_right_joint,upper_gripper_finger_left_joint,upper_gripper_finger_right_joint,-0.7799705799995457,0.7799150931207464,0.1499705357313156,-2.237260364927352e-05,0.7800526502235328,-0.7799916932259686,0.14990790361803957,2.801687526516617e-05,-0.054928927364153786,0.05490712586226873,-0.05493362727239728,0.054926406799280084
1650372808135126982,993,1650372808134634971,,duarolower_joint1,duarolower_joint2,duarolower_joint3,duarolower_joint4,duaroupper_joint1,duaroupper_joint2,duaroupper_joint3,duaroupper_joint4,lower_gripper_finger_left_joint,lower_gripper_finger_right_joint,upper_gripper_finger_left_joint,upper_gripper_finger_right_joint,-0.7799746225778231,0.7799266841456329,0.1499705351492742,-7.816734667722688e-06,0.7800526500478182,-0.7799916946153796,0.14990790430444345,2.801570618591508e-05,-0.05492892713850521,0.05490712631408724,-0.05493362754853634,0.054926406735648886
1650372808235383138,994,1650372808234645366,,duarolower_joint1,duarolower_joint2,duarolower_joint3,duarolower_joint4,duaroupper_joint1,duaroupper_joint2,duaroupper_joint3,duaroupper_joint4,lower_gripper_finger_left_joint,lower_gripper_finger_right_joint,upper_gripper_finger_left_joint,upper_gripper_finger_right_joint,-0.7866802711422949,0.7991533593158962,0.14996956968492128,0.024136809600592446,0.7800523585803965,-0.7799939993083912,0.1499090428805854,2.607648966028713e-05,-0.05492855284271365,0.054907875770486184,-0.054934085595701086,0.05492630118705135
1650372808335154669,995,1650372808334618330,,duarolower_joint1,duarolower_joint2,duarolower_joint3,duarolower_joint4,duaroupper_joint1,duaroupper_joint2,duaroupper_joint3,duaroupper_joint4,lower_gripper_finger_left_joint,lower_gripper_finger_right_joint,upper_gripper_finger_left_joint,upper_gripper_finger_right_joint,-0.793381599152647,0.818367646439006,0.14996860484263214,0.04826587917593984,0.7800520673007718,-0.779996302516453,0.14991018072312498,2.4138522602159286e-05,-0.05492817878808671,0.054908624743998664,-0.054934543347738896,0.05492619570646043
1650372808435194025,996,1650372808434669971,,duarolower_joint1,duarolower_joint2,duarolower_joint3,duarolower_joint4,duaroupper_joint1,duaroupper_joint2,duaroupper_joint3,duaroupper_joint4,lower_gripper_finger_left_joint,lower_gripper_finger_right_joint,upper_gripper_finger_left_joint,upper_gripper_finger_right_joint,-0.8000839570407091,0.8375848864642849,0.14996763985206352,0.07239865697014718,0.7800517759763824,-0.7799986060784779,0.14991131874053118,2.220025771215805e-05,-0.05492780467597407,0.05490937383261536,-0.05493500117012524,0.054926090209658975
1650372808535329202,997,1650372808534919738,,duarolower_joint1,duarolower_joint2,duarolower_joint3,duarolower_joint4,duaroupper_joint1,duaroupper_joint2,duaroupper_joint3,duaroupper_joint4,lower_gripper_finger_left_joint,lower_gripper_finger_right_joint,upper_gripper_finger_left_joint,upper_gripper_finger_right_joint,-0.8067847076547607,0.8567975180560898,0.14996667509290662,0.09652564754928832,0.7800514847218548,-0.7800009090880919,0.14991245648503257,2.0262457632128932e-05,-0.054927430653576234,0.05491012274159518,-0.05493545888272245,0.05492598473815642
1650372808635062361,998,1650372808634588718,,duarolower_joint1,duarolower_joint2,duarolower_joint3,duarolower_joint4,duaroupper_joint1,duaroupper_joint2,duaroupper_joint3,duaroupper_joint4,lower_gripper_finger_left_joint,lower_gripper_finger_right_joint,upper_gripper_finger_left_joint,upper_gripper_finger_right_joint,-0.8137529953392919,0.876777241496008,0.14996567181435785,0.1216159428014162,0.7800511818385728,-0.7800033040486651,0.14991363965561355,1.824728810702613e-05,-0.05492704169779818,0.054910901551839204,-0.05493593487015101,0.054925875055552985
1650372808735303688,999,1650372808734595775,,duarolower_joint1,duarolower_joint2,duarolower_joint3,duarolower_joint4,duaroupper_joint1,duaroupper_joint2,duaroupper_joint3,duaroupper_joint4,lower_gripper_finger_left_joint,lower_gripper_finger_right_joint,upper_gripper_finger_left_joint,upper_gripper_finger_right_joint,-0.8299679645211648,0.9232693805274932,0.14996333721919114,0.1800002091658023,0.7800504770394447,-0.7800088770407175,0.14991639285344008,1.3558056946503327e-05,-0.054926136610890214,0.05491271381687146,-0.054937042476758915,0.05492561982785357
