%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.name6,field.name7,field.name8,field.name9,field.name10,field.name11,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.position6,field.position7,field.position8,field.position9,field.position10,field.position11
1650525590266085123,322,1650525590265532255,,duarolower_joint1,duarolower_joint2,duarolower_joint3,duarolower_joint4,duaroupper_joint1,duaroupper_joint2,duaroupper_joint3,duaroupper_joint4,lower_gripper_finger_left_joint,lower_gripper_finger_right_joint,upper_gripper_finger_left_joint,upper_gripper_finger_right_joint,-0.7799729094929927,0.7799942350319428,0.14997680623834186,4.258902971932473e-05,0.7800659231783632,-0.7799477925863298,0.14990558020525147,8.903007762274228e-05,-0.05492134597894138,0.05495453243640959,-0.05496555481198165,0.05498366139835067
1650525590366442534,323,1650525590365511417,,duarolower_joint1,duarolower_joint2,duarolower_joint3,duarolower_joint4,duaroupper_joint1,duaroupper_joint2,duaroupper_joint3,duaroupper_joint4,lower_gripper_finger_left_joint,lower_gripper_finger_right_joint,upper_gripper_finger_left_joint,upper_gripper_finger_right_joint,-0.7799731501285107,0.7799924468988789,0.14997731416485366,4.145041384902738e-05,0.7848475764391267,-0.8023426571504051,0.14990636345903013,-0.02355567790323772,-0.05492275960641639,0.05495311930394336,-0.054964518634613824,0.05498402930626921
1650525590466241712,324,1650525590465537786,,duarolower_joint1,duarolower_joint2,duarolower_joint3,duarolower_joint4,duaroupper_joint1,duaroupper_joint2,duaroupper_joint3,duaroupper_joint4,lower_gripper_finger_left_joint,lower_gripper_finger_right_joint,upper_gripper_finger_left_joint,upper_gripper_finger_right_joint,-0.7799733907359871,0.7799906589741878,0.1499778220321763,4.031193066267407e-05,0.7896286724894821,-0.8247349120205227,0.14990714662153554,-0.04719763054474936,-0.0549241730691601,0.05495170633615074,-0.054963482577992696,0.054984397171315105
1650525590566025611,325,1650525590565520286,,duarolower_joint1,duarolower_joint2,duarolower_joint3,duarolower_joint4,duaroupper_joint1,duaroupper_joint2,duaroupper_joint3,duaroupper_joint4,lower_gripper_finger_left_joint,lower_gripper_finger_right_joint,upper_gripper_finger_left_joint,upper_gripper_finger_right_joint,-0.7799736310859732,0.7799888729628773,0.14997832935599537,3.9174665845129285e-05,0.7944046519615972,-0.8471032034055286,0.1499079289459251,-0.07081428231399833,-0.05492558501926055,0.0549502948804717,-0.05496244763012669,0.05498476464268343
1650525590665995712,326,1650525590665496587,,duarolower_joint1,duarolower_joint2,duarolower_joint3,duarolower_joint4,duaroupper_joint1,duaroupper_joint2,duaroupper_joint3,duaroupper_joint4,lower_gripper_finger_left_joint,lower_gripper_finger_right_joint,upper_gripper_finger_left_joint,upper_gripper_finger_right_joint,-0.7799738715497193,0.7799870861062285,0.14997883691993624,3.803686274790516e-05,0.7991828919562036,-0.8694820819436129,0.14990871164059724,-0.0944421120987327,-0.05492699763765218,0.0549488827567355,-0.05496141219240873,0.0549851322879799
1650525590766177220,327,1650525590765501022,,duarolower_joint1,duarolower_joint2,duarolower_joint3,duarolower_joint4,duaroupper_joint1,duaroupper_joint2,duaroupper_joint3,duaroupper_joint4,lower_gripper_finger_left_joint,lower_gripper_finger_right_joint,upper_gripper_finger_left_joint,upper_gripper_finger_right_joint,-0.7799741309756087,0.7799851583442154,0.14997938450862225,3.68093364152299e-05,0.8043379275080766,-0.893625681805715,0.14990955605587686,-0.11993315120338113,-0.05492852165026735,0.054947359277782576,-0.05496029510363673,0.05498552892451887
1650525590866058919,328,1650525590865524291,,duarolower_joint1,duarolower_joint2,duarolower_joint3,duarolower_joint4,duaroupper_joint1,duaroupper_joint2,duaroupper_joint3,duaroupper_joint4,lower_gripper_finger_left_joint,lower_gripper_finger_right_joint,upper_gripper_finger_left_joint,upper_gripper_finger_right_joint,-0.7799744362673292,0.7799828897588292,0.14998002890958165,3.536478657946395e-05,0.8104043601063872,-0.922037808117978,0.14991054976160928,-0.14993094055578665,-0.054930315104398914,0.05494556645166337,-0.05495898051643875,0.05498599568537929
1650525590966067220,329,1650525590965539693,,duarolower_joint1,duarolower_joint2,duarolower_joint3,duarolower_joint4,duaroupper_joint1,duaroupper_joint2,duaroupper_joint3,duaroupper_joint4,lower_gripper_finger_left_joint,lower_gripper_finger_right_joint,upper_gripper_finger_left_joint,upper_gripper_finger_right_joint,-0.7799747415930067,0.7799806209211124,0.1499806733822166,3.392007606902515e-05,0.8164714674630543,-0.9504530946598067,0.14991154357786982,-0.17993206650819799,-0.05493210875801315,0.05494377342613135,-0.05495766578302161,0.054986462498156675
1650525591066038737,330,1650525591065529346,,duarolower_joint1,duarolower_joint2,duarolower_joint3,duarolower_joint4,duaroupper_joint1,duaroupper_joint2,duaroupper_joint3,duaroupper_joint4,lower_gripper_finger_left_joint,lower_gripper_finger_right_joint,upper_gripper_finger_left_joint,upper_gripper_finger_right_joint,-0.7799750469092928,0.7799783521531825,0.14998131783502833,3.24754099962139e-05,0.8225383882025028,-0.9788675071802234,0.1499125373635617,-0.20993226966060774,-0.054933902356456676,0.05494198045575072,-0.054956351090044146,0.05498692929657544
1650525591166031775,331,1650525591165555000,,duarolower_joint1,duarolower_joint2,duarolower_joint3,duarolower_joint4,duaroupper_joint1,duaroupper_joint2,duaroupper_joint3,duaroupper_joint4,lower_gripper_finger_left_joint,lower_gripper_finger_right_joint,upper_gripper_finger_left_joint,upper_gripper_finger_right_joint,-0.7799753522450115,0.77997608324085,0.14998196232885816,3.1030651973303856e-05,0.8286056950892915,-1.0072837282210227,0.14991353121250606,-0.239934382265794,-0.054935696069059146,0.05494018737125113,-0.05495503631338911,0.05498739612470498
1650525591265917677,332,1650525591265498399,,duarolower_joint1,duarolower_joint2,duarolower_joint3,duarolower_joint4,duaroupper_joint1,duaroupper_joint2,duaroupper_joint3,duaroupper_joint4,lower_gripper_finger_left_joint,lower_gripper_finger_right_joint,upper_gripper_finger_left_joint,upper_gripper_finger_right_joint,-0.7799756575512793,0.7799738145473639,0.14998260676052377,2.9586033303560895e-05,0.8346724167580596,-1.0356972083942608,0.14991452496558935,-0.26993360103731096,-0.05493748960865026,0.0549383944597023,-0.054953721663549976,0.05498786290780694
1650525591366011199,333,1650525591365494489,,duarolower_joint1,duarolower_joint2,duarolower_joint3,duarolower_joint4,duaroupper_joint1,duaroupper_joint2,duaroupper_joint3,duaroupper_joint4,lower_gripper_finger_left_joint,lower_gripper_finger_right_joint,upper_gripper_finger_left_joint,upper_gripper_finger_right_joint,-0.7799759628585883,0.7799715458461414,0.14998325119438696,2.814140970753999e-05,0.8407391591148873,-1.0641107854599896,0.14991551872206146,-0.2999329221088278,-0.05493928315435751,0.05493660154203948,-0.05495240700922777,0.05498832969250066
1650525591466074367,334,1650525591465509176,,duarolower_joint1,duarolower_joint2,duarolower_joint3,duarolower_joint4,duaroupper_joint1,duaroupper_joint2,duaroupper_joint3,duaroupper_joint4,lower_gripper_finger_left_joint,lower_gripper_finger_right_joint,upper_gripper_finger_left_joint,upper_gripper_finger_right_joint,-0.7799762682307124,0.7799692766632854,0.1499838957650601,2.6696479425435583e-05,0.846807189409596,-1.092530394580499,0.1499165126895029,-0.3299386118803386,-0.0549410770808252,0.05493480824374956,-0.05495109207581128,0.05498879657629035
1650525591566041557,335,1650525591565557479,,duarolower_joint1,duarolower_joint2,duarolower_joint3,duarolower_joint4,duaroupper_joint1,duaroupper_joint2,duaroupper_joint3,duaroupper_joint4,lower_gripper_finger_left_joint,lower_gripper_finger_right_joint,upper_gripper_finger_left_joint,upper_gripper_finger_right_joint,-0.7799765735098501,0.7799670081714007,0.14998454013946003,2.5251989127850426e-05,0.8528733719754383,-1.120941349866141,0.149917506354279,-0.35993516485185806,-0.05494287046103824,0.054933015491523,-0.054949777542794974,0.05498926331791288
1650525591666193267,336,1650525591665590763,,duarolower_joint1,duarolower_joint2,duarolower_joint3,duarolower_joint4,duaroupper_joint1,duaroupper_joint2,duaroupper_joint3,duaroupper_joint4,lower_gripper_finger_left_joint,lower_gripper_finger_right_joint,upper_gripper_finger_left_joint,upper_gripper_finger_right_joint,-0.7799768787906394,0.7799647396672421,0.1499851845173464,2.3807491014674748e-05,0.8589395873630996,-1.1493524588727135,0.14991850002443147,-0.3899318801233773,-0.05494466385095458,0.05493122272959653,-0.05494846300266623,0.05498973006206077
1650525591765996527,337,1650525591765522480,,duarolower_joint1,duarolower_joint2,duarolower_joint3,duarolower_joint4,duaroupper_joint1,duaroupper_joint2,duaroupper_joint3,duaroupper_joint4,lower_gripper_finger_left_joint,lower_gripper_finger_right_joint,upper_gripper_finger_left_joint,upper_gripper_finger_right_joint,-0.7799771841246511,0.7799624707675945,0.14998582900757307,2.2362741069014843e-05,0.8650068603292216,-1.1777685210461302,0.14991949386781947,-0.4199338249948917,-0.05494645755352889,0.05492942965512159,-0.054947148233361755,0.0549901968875804
1650525591866232301,338,1650525591865550518,,duarolower_joint1,duarolower_joint2,duarolower_joint3,duarolower_joint4,duaroupper_joint1,duaroupper_joint2,duaroupper_joint3,duaroupper_joint4,lower_gripper_finger_left_joint,lower_gripper_finger_right_joint,upper_gripper_finger_left_joint,upper_gripper_finger_right_joint,-0.7799774894135773,0.7799602022029726,0.1499864734026343,2.0918204455100377e-05,0.8710732374019498,-1.2061803873044268,0.14992048756445658,-0.4499313397798812,-0.05494825099124511,0.054927636845411985,-0.05494583365819609,0.054990663644168596
1650525591966232381,339,1650525591965591192,,duarolower_joint1,duarolower_joint2,duarolower_joint3,duarolower_joint4,duaroupper_joint1,duaroupper_joint2,duaroupper_joint3,duaroupper_joint4,lower_gripper_finger_left_joint,lower_gripper_finger_right_joint,upper_gripper_finger_left_joint,upper_gripper_finger_right_joint,-0.77997779476949,0.7799579331405811,0.14998711793908898,1.947335088034893e-05,0.8771409455617103,-1.2345984877064775,0.14992148147913104,-0.4799354366322977,-0.0549500448224782,0.05492584364232331,-0.05494451879458578,0.05499113050317272
1650525592066185740,340,1650525592065547704,,duarolower_joint1,duarolower_joint2,duarolower_joint3,duarolower_joint4,duaroupper_joint1,duaroupper_joint2,duaroupper_joint3,duaroupper_joint4,lower_gripper_finger_left_joint,lower_gripper_finger_right_joint,upper_gripper_finger_left_joint,upper_gripper_finger_right_joint,-0.7799781000595465,0.7799556645675597,0.14998776233653613,1.8028808917959774e-05,0.8832073450955267,-1.2630104591612406,0.14992247517944737,-0.5099330624847029,-0.054951838266834724,0.05492405082597572,-0.05494320421455282,0.0549915972614891
