Timestamp, lowerLink1, lowerLink2, lowerLink3, lowerLink4, upperLink1, upperLink2, upperLink3, upperLink4, gripLowerR, gripLowerL, gripUpperR, gripUpperL,
0.1,-0.7502,0.7605,0.1446,0.0003,0.7162,-0.7589,0.1449,-0.0038,-0.0519,0.0549,-0.0542,0.0522, 
0.2,-0.7502,0.7605,0.1446,0.0003,0.7162,-0.7589,0.1449,-0.0038,-0.0519,0.0549,-0.0542,0.0522, 
0.3,-0.7502,0.7605,0.1446,0.0003,0.7162,-0.7589,0.1449,-0.0038,-0.0519,0.0549,-0.0542,0.0522, 
0.4,-0.7502,0.7605,0.1446,0.0003,0.7162,-0.7589,0.1449,-0.0038,-0.0519,0.0549,-0.0542,0.0522, 
0.5,-0.7502,0.7605,0.1446,0.0003,0.7162,-0.7589,0.1449,-0.0038,-0.0519,0.0549,-0.0542,0.0522, 
0.6,-0.7502,0.7605,0.1446,0.0003,0.7162,-0.7589,0.1449,-0.0038,-0.0519,0.0549,-0.0542,0.0522, 
0.7,-0.7502,0.7727,0.147,0.0002,0.7401,-0.7725,0.1474,-0.0037,-0.0534,0.0549,-0.0550,0.0530, 
0.8000001,-0.7703,0.7853,0.1482,-0.0120,0.7534,-0.7793,0.1487,-0.0038,-0.0542,0.0549,-0.0550,0.0534, 
0.9000001,-0.7893,0.7986,0.1487,-0.0301,0.7689,-0.7912,0.1494,0.0083,-0.0545,0.0549,-0.0550,0.0535, 
1,-0.8063,0.813,0.149,-0.0513,0.7845,-0.8062,0.1497,0.0264,-0.0547,0.0549,-0.0550,0.0535, 
1.1,-0.8211,0.8283,0.1491,-0.0739,0.7989,-0.8234,0.15,0.0476,-0.0548,0.0549,-0.0550,0.0535, 
1.2,-0.8344,0.8447,0.1491,-0.0978,0.8117,-0.8422,0.15,0.0703,-0.0548,0.0549,-0.0550,0.0534, 
1.3,-0.8578,0.8718,0.1491,-0.1388,0.824,-0.8625,0.15,0.0941,-0.0548,0.0549,-0.0550,0.0533, 
1.4,-0.8847,0.9065,0.1491,-0.1886,0.8361,-0.8824,0.15,0.1210,-0.0548,0.0549,-0.0550,0.0532, 
1.5,-0.917,0.9435,0.149,-0.2509,0.8524,-0.9186,0.15,0.1487,-0.0549,0.0549,-0.0550,0.0529, 
1.6,-0.9499,0.9969,0.1489,-0.3226,0.8682,-0.9321,0.1485,0.1814,-0.0548,0.0549,-0.0548,0.0541, 
1.7,-0.9891,1.0545,0.1489,-0.4031,0.8766,-0.9546,0.1484,0.2126,-0.0548,0.0549,-0.0548,0.0547, 
1.8,-1.0302,1.1198,0.1488,-0.4937,0.8862,-0.9796,0.1483,0.2430,-0.0548,0.0549,-0.0548,0.0549, 
1.9,-1.0675,1.1877,0.1487,-0.5846,0.8943,-1.0042,0.1481,0.2732,-0.0548,0.0549,-0.0548,0.0550, 
2,-1.0968,1.2504,0.1488,-0.6715,0.9081,-1.0404,0.1494,0.3027,-0.0548,0.0550,-0.0550,0.0548, 
2.1,-1.1211,1.3179,0.1489,-0.7533,0.9162,-1.0596,0.1489,0.3330,-0.0549,0.0549,-0.0549,0.0549, 
2.2,-1.1395,1.3758,0.1487,-0.8242,0.9211,-1.0899,0.1491,0.3625,-0.0548,0.0550,-0.0550,0.0547, 
2.3,-1.1508,1.4303,0.1487,-0.8892,0.9315,-1.1197,0.1493,0.3919,-0.0549,0.0550,-0.0550,0.0545, 
2.4,-1.1511,1.4715,0.1487,-0.9353,0.9409,-1.149,0.1492,0.4215,-0.0549,0.0549,-0.0550,0.0543, 
2.5,-1.1444,1.5075,0.149,-0.9706,0.9465,-1.1759,0.1495,0.4511,-0.055,0.0549,-0.0550,0.0541, 
2.6,-1.1388,1.5391,0.149,-1.0004,0.954,-1.2013,0.1496,0.4807,-0.055,0.0549,-0.0550,0.0540, 
2.7,-1.138,1.5629,0.149,-1.0275,0.9565,-1.2312,0.1495,0.5105,-0.055,0.0548,-0.0550,0.0539, 
2.799999,-1.1323,1.5883,0.1455,-1.0544,0.9588,-1.2475,0.1456,0.5405,-0.055,0.0542,-0.0550,0.0542, 
2.899999,-1.1309,1.6025,0.1461,-1.0676,0.9571,-1.2822,0.1469,0.5701,-0.055,0.0543,-0.0550,0.0540, 
2.999999,-1.1153,1.6151,0.1478,-1.0737,0.9759,-1.3086,0.1482,0.5999,-0.055,0.0546,-0.0550,0.0539, 
3.099999,-1.1088,1.6237,0.1486,-1.0768,0.9779,-1.3333,0.1488,0.6300,-0.055,0.0547,-0.0550,0.0539, 
3.199999,-1.1029,1.6293,0.149,-1.0783,0.9807,-1.3598,0.1491,0.6600,-0.055,0.0548,-0.0550,0.0539, 
3.299999,-1.0989,1.6332,0.1491,-1.0792,0.9875,-1.3888,0.1494,0.6896,-0.0549,0.0548,-0.0550,0.0538, 
3.399999,-1.0983,1.6327,0.1491,-1.0796,0.9888,-1.4194,0.1494,0.7195,-0.0549,0.0549,-0.0550,0.0538, 
3.499999,-1.0778,1.6361,0.1463,-1.0758,1.0156,-1.4498,0.1455,0.7535,-0.0542,0.0550,-0.0548,0.0545, 
3.599999,-1.0722,1.6391,0.1478,-1.0778,1.0263,-1.4705,0.1472,0.7813,-0.0546,0.0550,-0.0550,0.0541, 
3.699999,-1.0786,1.6405,0.1488,-1.0790,1.0184,-1.498,0.1487,0.8099,-0.0548,0.0549,-0.0550,0.0540, 
3.799999,-1.0843,1.638,0.149,-1.0795,1.0157,-1.5259,0.1492,0.8364,-0.0549,0.0549,-0.0550,0.0540, 
3.899998,-1.0805,1.6483,0.1475,-1.0761,1.0426,-1.5622,0.1471,0.8602,-0.0531,0.0550,-0.0550,0.0528, 
3.999998,-1.0715,1.645,0.1488,-1.0783,1.0415,-1.574,0.1485,0.8863,-0.0543,0.0547,-0.0550,0.0536, 
4.099998,-1.0787,1.6421,0.1493,-1.0792,1.0297,-1.5951,0.1491,0.9117,-0.0547,0.0548,-0.0550,0.0539, 
4.199998,-1.0791,1.64,0.1493,-1.0796,1.0321,-1.6159,0.1492,0.9332,-0.0548,0.0548,-0.0550,0.0540, 
4.299998,-1.0775,1.6395,0.1493,-1.0797,1.0305,-1.6272,0.1493,0.9441,-0.0549,0.0549,-0.0550,0.0540, 
4.399998,-1.0766,1.6393,0.1493,-1.0798,1.0266,-1.634,0.1493,0.9495,-0.0549,0.0549,-0.0550,0.0541, 
4.499998,-1.0762,1.6392,0.1409,-1.0799,1.0224,-1.6382,0.1493,0.9523,-0.0549,0.0549,-0.0550,0.0541, 
4.599998,-1.076,1.6392,0.1284,-1.0799,1.0189,-1.6407,0.1494,0.9538,-0.0549,0.0549,-0.0550,0.0541, 
4.699998,-1.076,1.6392,0.1137,-1.0799,1.0162,-1.6423,0.1494,0.9545,-0.0549,0.0549,-0.0550,0.0542, 
4.799998,-1.076,1.6392,0.1031,-1.0799,1.0142,-1.6433,0.1494,0.9549,-0.0549,0.0549,-0.0550,0.0542, 
4.899998,-1.076,1.6392,0.0977,-1.0799,1.0128,-1.6439,0.1494,0.9551,-0.0549,0.0549,-0.0550,0.0542, 
4.999998,-1.076,1.6392,0.0951,-1.0799,1.0118,-1.6443,0.1494,0.9552,-0.0549,0.0550,-0.0550,0.0542, 
5.099998,-1.0761,1.6392,0.0938,-1.0799,1.0112,-1.6446,0.1494,0.9553,-0.0549,0.0550,-0.0550,0.0542, 
5.199997,-1.0761,1.6392,0.0931,-1.0800,1.0107,-1.6447,0.1494,0.9553,-0.0549,0.0550,-0.0550,0.0542, 
5.299997,-1.0761,1.6392,0.0928,-1.0800,1.0104,-1.6448,0.1494,0.9554,-0.0549,0.0550,-0.0550,0.0542, 
5.399997,-1.0761,1.6392,0.0926,-1.0800,1.0102,-1.6449,0.1494,0.9554,-0.0549,0.0550,-0.0550,0.0542, 
5.499997,-1.0762,1.6392,0.0925,-1.0800,1.01,-1.645,0.1494,0.9554,-0.0549,0.0550,-0.0550,0.0542, 
5.599997,-1.0762,1.6392,0.0925,-1.0800,1.0099,-1.645,0.1494,0.9554,-0.0549,0.0550,-0.0550,0.0542, 
5.699997,-1.0762,1.6392,0.0925,-1.0800,1.0099,-1.645,0.1494,0.9554,-0.0549,0.0550,-0.0550,0.0542, 
5.799997,-1.0762,1.6392,0.0925,-1.0800,1.0098,-1.645,0.1493,0.9554,-0.0549,0.0550,-0.0550,0.0542, 
5.899997,-1.0762,1.6392,0.0924,-1.0800,1.0098,-1.645,0.1384,0.9554,-0.0549,0.0550,-0.0550,0.0542, 
5.999997,-1.0762,1.6392,0.0924,-1.0800,1.0098,-1.645,0.1219,0.9554,-0.0549,0.0550,-0.0550,0.0542, 
6.099997,-1.0762,1.6392,0.0924,-1.0800,1.0098,-1.6449,0.1025,0.9554,-0.0549,0.0550,-0.0550,0.0543, 
6.199996,-1.0762,1.6392,0.0924,-1.0800,1.0098,-1.6449,0.0819,0.9554,-0.0549,0.0550,-0.0550,0.0543, 
6.299996,-1.0762,1.6393,0.0924,-1.0800,1.0097,-1.6448,0.0656,0.9554,-0.0549,0.0550,-0.0550,0.0543, 
6.399996,-1.0762,1.6393,0.0924,-1.0800,1.0097,-1.6448,0.06,0.9555,-0.0505,0.0480,-0.0550,0.0543, 
6.499996,-1.0762,1.6393,0.0924,-1.0800,1.0097,-1.6447,0.0498,0.9555,-0.0438,0.0375,-0.0550,0.0543, 
6.599996,-1.0762,1.6392,0.0924,-1.0800,1.0097,-1.6447,0.0446,0.9555,-0.0369,0.0267,-0.0550,0.0543, 
6.699996,-1.0766,1.6381,0.0924,-1.0800,1.0122,-1.6459,0.0421,0.9553,-0.0334,0.0214,-0.0550,0.0543, 
6.799996,-1.0758,1.6401,0.0925,-1.0800,1.0139,-1.6454,0.041,0.9553,-0.0317,0.0187,-0.0550,0.0543, 
6.899996,-1.0803,1.6408,0.0926,-1.0801,1.01,-1.6451,0.0404,0.9555,-0.0309,0.0173,-0.0550,0.0543, 
6.999996,-1.0824,1.6392,0.0925,-1.0801,1.0087,-1.6459,0.04,0.9555,-0.0305,0.0166,-0.0550,0.0543, 
7.099996,-1.0481,1.6197,0.0897,-1.0788,1.0125,-1.6294,0.0365,0.9695,-0.0325,0.0140,-0.0529,0.0550, 
7.199996,-1.0553,1.6314,0.0914,-1.0799,1.0198,-1.6323,0.0382,0.9625,-0.0315,0.0148,-0.0541,0.0547, 
7.299995,-1.0719,1.6368,0.0922,-1.0801,1.0079,-1.6382,0.0391,0.9592,-0.0308,0.0153,-0.0548,0.0546, 
7.399995,-1.0762,1.6399,0.0923,-1.0800,1.0072,-1.6415,0.0394,0.9575,-0.0304,0.0157,-0.0550,0.0544, 
7.499995,-1.08,1.6402,0.0924,-1.0801,1.0079,-1.6415,0.0393,0.9568,-0.0302,0.0158,-0.0550,0.0544, 
7.599995,-1.0763,1.6395,0.0925,-1.0800,1.0061,-1.6466,0.0398,0.9560,-0.0302,0.0159,-0.0550,0.0544, 
7.699995,-1.0758,1.6391,0.0924,-1.0800,1.0108,-1.646,0.0396,0.9557,-0.0301,0.0160,-0.0550,0.0543, 
7.799995,-1.0774,1.6415,0.0925,-1.0800,1.0075,-1.6418,0.0393,0.9560,-0.03,0.0160,-0.0550,0.0544, 
7.899995,-1.0819,1.64,0.0925,-1.0801,1.0048,-1.6474,0.0399,0.9556,-0.03,0.0160,-0.0550,0.0543, 
7.999995,-1.0713,1.6395,0.0926,-1.0800,1.0183,-1.6447,0.0398,0.9555,-0.03,0.0159,-0.0508,0.0473, 
8.099995,-1.0675,1.6397,0.0901,-1.0800,1.0173,-1.6384,0.037,0.9572,-0.0304,0.0156,-0.0438,0.0372, 
8.199995,-1.0789,1.6392,0.0912,-1.0799,1.007,-1.6453,0.0382,0.9560,-0.0301,0.0159,-0.0373,0.0262, 
8.299995,-1.084,1.6379,0.0997,-1.0804,1.0021,-1.6478,0.0388,0.9558,-0.0303,0.0158,-0.0339,0.0209, 
8.399996,-1.0765,1.642,0.1132,-1.0803,1.0175,-1.6436,0.0396,0.9554,-0.0302,0.0158,-0.0323,0.0181, 
8.499996,-1.0762,1.6406,0.128,-1.0802,1.0142,-1.6432,0.0397,0.9557,-0.0301,0.0158,-0.0314,0.0168, 
8.599997,-1.078,1.6413,0.1388,-1.0802,1.0134,-1.6442,0.0399,0.9555,-0.0301,0.0158,-0.0310,0.0161, 
8.699997,-1.08,1.6383,0.144,-1.0802,1.0139,-1.6456,0.0397,0.9554,-0.03,0.0159,-0.0308,0.0157, 
8.799997,-1.0754,1.6395,0.1468,-1.0802,1.0134,-1.6474,0.04,0.9551,-0.0299,0.0160,-0.0308,0.0155, 
8.899998,-1.0772,1.6387,0.148,-1.0802,1.0136,-1.647,0.0399,0.9552,-0.0299,0.0160,-0.0307,0.0155, 
8.999998,-1.079,1.6392,0.1487,-1.0802,1.014,-1.6476,0.04,0.9551,-0.0299,0.0159,-0.0307,0.0154, 
9.099998,-1.0798,1.6396,0.149,-1.0801,1.0165,-1.6444,0.0398,0.9554,-0.0299,0.0159,-0.0306,0.0154, 
9.199999,-1.1078,1.6645,0.1472,-1.0770,1.0165,-1.6693,0.0381,0.9458,-0.0265,0.0194,-0.0330,0.0131, 
9.299999,-1.0998,1.6503,0.1484,-1.0785,1.0045,-1.6616,0.0396,0.9509,-0.0283,0.0176,-0.0317,0.0143, 
9.4,-1.095,1.6422,0.149,-1.0793,1.0013,-1.6561,0.0399,0.9533,-0.0291,0.0168,-0.0311,0.0149, 
9.5,-1.0662,1.6223,0.145,-1.0855,1.0001,-1.6287,0.0365,0.9604,-0.0332,0.0125,-0.0290,0.0171, 
9.6,-1.0676,1.6339,0.1474,-1.0829,1.0173,-1.6349,0.0384,0.9575,-0.0316,0.0142,-0.0299,0.0162, 
9.700001,-1.0705,1.6394,0.1485,-1.0816,1.0219,-1.6387,0.0393,0.9562,-0.0307,0.0151,-0.0304,0.0157, 
9.800001,-1.0814,1.6381,0.1494,-1.0810,1.0117,-1.6455,0.0451,0.9556,-0.0303,0.0155,-0.0305,0.0155, 
9.900002,-1.0802,1.6368,0.1494,-1.0805,1.0141,-1.6464,0.0584,0.9556,-0.0302,0.0157,-0.0306,0.0155, 
10,-1.079,1.639,0.1494,-1.0803,1.0092,-1.6439,0.0759,0.9559,-0.0301,0.0158,-0.0305,0.0155, 
10.1,-1.0817,1.6405,0.1495,-1.0803,1.0064,-1.6448,0.0959,0.9558,-0.03,0.0158,-0.0306,0.0154, 
10.2,-1.0814,1.6274,0.1494,-1.0927,1.0088,-1.6475,0.117,0.9554,-0.03,0.0159,-0.0308,0.0152, 
10.3,-1.0802,1.6063,0.1493,-1.1113,1.0128,-1.6471,0.1333,0.9552,-0.0299,0.0159,-0.0308,0.0152, 
10.4,-1.0771,1.589,0.1496,-1.1331,1.0081,-1.6477,0.142,0.9552,-0.03,0.0159,-0.0309,0.0152, 
10.5,-1.0771,1.5615,0.1495,-1.1565,1.0092,-1.648,0.1459,0.9553,-0.03,0.0159,-0.0308,0.0152, 
10.6,-1.0732,1.5373,0.1496,-1.1806,1.012,-1.648,0.1481,0.9552,-0.0301,0.0158,-0.0308,0.0152, 
10.7,-1.0734,1.4963,0.1494,-1.2201,1.0141,-1.6474,0.1487,0.9551,-0.03,0.0159,-0.0308,0.0152, 
10.8,-1.0713,1.4508,0.1497,-1.2704,1.0087,-1.6476,0.1498,0.9551,-0.03,0.0159,-0.0309,0.0152, 
10.90001,-1.0701,1.3844,0.1497,-1.3325,1.0089,-1.6479,0.1498,0.9553,-0.0301,0.0158,-0.0308,0.0152, 
11.00001,-1.0659,1.3139,0.1463,-1.4048,1.0073,-1.6411,0.1467,0.9554,-0.0307,0.0152,-0.0305,0.0155, 
11.10001,-1.0656,1.2312,0.1479,-1.4860,1.0048,-1.6443,0.1482,0.9555,-0.0304,0.0155,-0.0306,0.0154, 
11.20001,-1.0645,1.1454,0.1488,-1.5722,1.0075,-1.6459,0.1491,0.9553,-0.0302,0.0157,-0.0308,0.0152, 
11.30001,-1.0625,1.0563,0.1491,-1.6588,1.0086,-1.6477,0.1495,0.9551,-0.0301,0.0159,-0.0309,0.0152, 
11.40001,-1.0603,0.9715,0.1491,-1.7407,1.0119,-1.6473,0.1494,0.9550,-0.03,0.0159,-0.0309,0.0151, 
11.50001,-1.0618,0.8999,0.1497,-1.8151,1.0073,-1.6474,0.15,0.9553,-0.0301,0.0158,-0.0309,0.0152, 
11.60001,-1.0616,0.8278,0.1497,-1.8824,1.0076,-1.6476,0.1499,0.9554,-0.0302,0.0158,-0.0308,0.0153, 
11.70001,-1.06,0.7705,0.1499,-1.9378,1.0098,-1.6473,0.15,0.9555,-0.0303,0.0157,-0.0307,0.0153, 
11.80001,-1.0611,0.7285,0.1495,-1.9781,1.0126,-1.6469,0.1497,0.9553,-0.0302,0.0158,-0.0308,0.0152, 
11.90001,-1.0644,0.6948,0.1498,-2.0108,1.0099,-1.6476,0.15,0.9553,-0.0302,0.0158,-0.0308,0.0152, 
12.00001,-1.0661,0.6644,0.1498,-2.0398,1.0042,-1.6446,0.15,0.9405,-0.0303,0.0157,-0.0307,0.0153, 
12.10001,-1.0672,0.6362,0.1498,-2.0669,0.9977,-1.6395,0.15,0.9181,-0.0303,0.0157,-0.0307,0.0153, 
12.20001,-1.0662,0.6137,0.1495,-2.0884,0.9948,-1.633,0.1497,0.8918,-0.0302,0.0158,-0.0308,0.0152, 
12.30001,-1.0725,0.6045,0.1498,-2.0991,0.9837,-1.6262,0.15,0.8641,-0.0302,0.0158,-0.0308,0.0153, 
12.40001,-1.0737,0.5958,0.1496,-2.1045,0.9786,-1.6191,0.15,0.8353,-0.0302,0.0158,-0.0307,0.0153, 
12.50001,-1.0743,0.5947,0.1497,-2.1072,0.9764,-1.6092,0.15,0.8056,-0.0302,0.0158,-0.0308,0.0152, 
12.60001,-1.0751,0.591,0.1495,-2.1086,0.9731,-1.6032,0.1499,0.7757,-0.0301,0.0159,-0.0309,0.0151, 
12.70001,-1.0756,0.5882,0.1493,-2.1093,0.9695,-1.5954,0.1496,0.7458,-0.0301,0.0159,-0.0309,0.0151, 
12.80001,-1.0718,0.5908,0.1495,-2.1095,0.9729,-1.5852,0.15,0.7158,-0.03,0.0160,-0.0310,0.0150, 
12.90001,-1.08,0.5877,0.1495,-2.1098,0.9605,-1.5805,0.15,0.6858,-0.03,0.0160,-0.0310,0.0150, 
13.00001,-1.0773,0.5859,0.1493,-2.1098,0.96,-1.5712,0.1498,0.6561,-0.03,0.0160,-0.0309,0.0151, 
13.10001,-1.0735,0.5893,0.1495,-2.1098,0.9636,-1.5603,0.15,0.6260,-0.03,0.0160,-0.0310,0.0150, 
13.20001,-1.0866,0.5915,0.1496,-2.1100,0.9434,-1.5505,0.1497,0.5966,-0.0301,0.0159,-0.0308,0.0152, 
13.30001,-1.0877,0.5868,0.1472,-2.1104,0.935,-1.5425,0.1476,0.5666,-0.0306,0.0154,-0.0307,0.0153, 
13.40001,-1.0732,0.5848,0.1486,-2.1101,0.9534,-1.536,0.1491,0.5360,-0.0303,0.0157,-0.0310,0.0150, 
13.50002,-1.0691,0.5909,0.1488,-2.1099,0.9561,-1.5218,0.149,0.5065,-0.0302,0.0158,-0.0309,0.0151, 
13.60002,-1.0913,0.6004,0.1466,-2.1109,0.9445,-1.5279,0.1476,0.4708,-0.0284,0.0177,-0.0328,0.0133, 
13.70002,-1.0916,0.5918,0.1478,-2.1103,0.932,-1.5182,0.1492,0.4438,-0.0292,0.0168,-0.0318,0.0142, 
13.80002,-1.0819,0.5918,0.1486,-2.1100,0.9391,-1.5034,0.1499,0.4150,-0.0295,0.0165,-0.0315,0.0146, 
13.90002,-1.0806,0.5912,0.1358,-2.1099,0.9355,-1.4927,0.1499,0.3857,-0.0297,0.0163,-0.0312,0.0148, 
14.00002,-1.078,0.5913,0.1164,-2.1099,0.9311,-1.4834,0.1498,0.3561,-0.0299,0.0161,-0.0311,0.0149, 
14.10002,-1.0802,0.6,0.0923,-2.1085,0.949,-1.4885,0.1471,0.3242,-0.0269,0.0192,-0.0321,0.0139, 
14.20002,-1.0757,0.5981,0.0691,-2.1093,0.9386,-1.4677,0.1484,0.2956,-0.0287,0.0174,-0.0314,0.0146, 
14.30002,-1.0815,0.5952,0.0442,-2.1096,0.9223,-1.4576,0.1494,0.2660,-0.0294,0.0167,-0.0312,0.0148, 
14.40002,-1.0835,0.591,0.0267,-2.1098,0.9128,-1.4507,0.1495,0.2365,-0.0297,0.0164,-0.0310,0.0150, 
14.50002,-1.0729,0.5892,0.0182,-2.1098,0.9237,-1.4392,0.1496,0.2067,-0.0299,0.0162,-0.0309,0.0151, 
14.60002,-1.0716,0.5934,0.0139,-2.1098,0.9233,-1.4263,0.1494,0.1769,-0.0299,0.0162,-0.0309,0.0152, 
14.70002,-1.065,0.5924,0.0349,-2.1213,0.8795,-1.3979,0.1385,0.1510,-0.0158,0.0304,-0.0292,0.0168, 
14.80002,-1.0828,0.5896,0.0178,-2.1235,0.8896,-1.4077,0.1444,0.1193,-0.0454,0.0055,-0.0300,0.0160, 
14.90002,-1.0826,0.5843,0.0138,-2.1174,0.9038,-1.402,0.1471,0.0885,-0.055,0.0055,-0.0303,0.0157, 
15.00002,-1.0862,0.5879,0.0107,-2.1129,0.9044,-1.4021,0.1471,0.0573,-0.0414,0.0119,-0.0308,0.0153, 
15.10002,-1.081,0.5883,0.0103,-2.1114,0.9043,-1.3898,0.1487,0.0270,-0.0358,0.0138,-0.0308,0.0152, 
15.20002,-1.0837,0.5864,0.0091,-2.1125,0.8989,-1.3837,0.1494,-0.0029,-0.0395,0.0112,-0.0308,0.0152, 
15.30002,-1.0919,0.5871,0.01,-2.1139,0.8963,-1.3739,0.1496,-0.0325,-0.0444,0.0060,-0.0307,0.0154, 
