Timestamp, lowerLink1, lowerLink2, lowerLink3, lowerLink4, upperLink1, upperLink2, upperLink3, upperLink4, gripLowerR, gripLowerL, gripUpperR, gripUpperL,
0.033,-0.7453,0.7590,0.1452,0.0001,0.7245,-0.7686,0.1492,-0.0158,-0.0534,0.0540,-0.0550,0.0489, 
0.066,-0.7453,0.7590,0.1452,0.0001,0.7245,-0.7686,0.1492,-0.0158,-0.0534,0.0540,-0.0550,0.0489, 
0.099,-0.7453,0.7590,0.1452,0.0001,0.7245,-0.7686,0.1492,-0.0158,-0.0534,0.0540,-0.0550,0.0489, 
0.132,-0.7453,0.7590,0.1452,0.0001,0.7245,-0.7686,0.1492,-0.0158,-0.0534,0.0540,-0.0550,0.0489, 
0.165,-0.7453,0.7590,0.1452,0.0001,0.7245,-0.7686,0.1492,-0.0158,-0.0534,0.0540,-0.0550,0.0489, 
0.198,-0.7453,0.7590,0.1452,0.0001,0.7245,-0.7686,0.1492,-0.0158,-0.0534,0.0540,-0.0550,0.0489, 
0.231,-0.7453,0.7590,0.1452,0.0001,0.7245,-0.7686,0.1492,-0.0158,-0.0534,0.0540,-0.0550,0.0489, 
0.264,-0.7453,0.7590,0.1452,0.0001,0.7245,-0.7686,0.1492,-0.0158,-0.0534,0.0540,-0.0550,0.0489, 
0.297,-0.7453,0.7590,0.1452,0.0001,0.7245,-0.7686,0.1492,-0.0158,-0.0534,0.0540,-0.0550,0.0489, 
0.33,-0.7453,0.7590,0.1452,0.0001,0.7245,-0.7686,0.1492,-0.0158,-0.0534,0.0540,-0.0550,0.0489, 
0.3629999,-0.7453,0.7590,0.1452,0.0001,0.7245,-0.7686,0.1492,-0.0158,-0.0534,0.0540,-0.0550,0.0489, 
0.3959999,-0.7453,0.7590,0.1452,0.0001,0.7245,-0.7686,0.1492,-0.0158,-0.0534,0.0540,-0.0550,0.0489, 
0.4289999,-0.7453,0.7590,0.1452,0.0001,0.7245,-0.7686,0.1492,-0.0158,-0.0534,0.0540,-0.0550,0.0489, 
0.4619999,-0.7453,0.7590,0.1452,0.0001,0.7245,-0.7686,0.1492,-0.0158,-0.0534,0.0540,-0.0550,0.0489, 
0.4949999,-0.7453,0.7590,0.1452,0.0001,0.7245,-0.7686,0.1492,-0.0158,-0.0534,0.0540,-0.0550,0.0489, 
0.5279999,-0.7453,0.7590,0.1452,0.0001,0.7245,-0.7686,0.1492,-0.0158,-0.0534,0.0540,-0.0550,0.0489, 
0.5609999,-0.7453,0.7590,0.1452,0.0001,0.7245,-0.7686,0.1492,-0.0158,-0.0534,0.0540,-0.0550,0.0489, 
0.5939999,-0.7453,0.7590,0.1452,0.0001,0.7245,-0.7686,0.1492,-0.0158,-0.0534,0.0540,-0.0550,0.0489, 
0.6269999,-0.7453,0.7590,0.1452,0.0001,0.7245,-0.7686,0.1492,-0.0158,-0.0534,0.0540,-0.0550,0.0489, 
0.6599999,-0.7453,0.7590,0.1452,0.0001,0.7245,-0.7686,0.1492,-0.0158,-0.0534,0.0540,-0.0550,0.0489, 
0.6929999,-0.7453,0.7590,0.1452,0.0001,0.7245,-0.7686,0.1492,-0.0158,-0.0534,0.0540,-0.0550,0.0489, 
0.7259999,-0.7503,0.7622,0.1458,0.0001,0.7299,-0.7738,0.1500,-0.0164,-0.0536,0.0542,-0.0550,0.0489, 
0.7589999,-0.7545,0.7648,0.1464,0.0000,0.7344,-0.7783,0.1500,-0.0170,-0.0538,0.0543,-0.0550,0.0489, 
0.7919999,-0.7580,0.7670,0.1469,0.0000,0.7381,-0.7821,0.1500,-0.0175,-0.0540,0.0544,-0.0550,0.0489, 
0.8249999,-0.7615,0.7694,0.1473,0.0000,0.7431,-0.7824,0.1496,-0.0146,-0.0542,0.0545,-0.0550,0.0499, 
0.8579999,-0.7646,0.7712,0.1476,0.0000,0.7480,-0.7825,0.1495,-0.0122,-0.0543,0.0546,-0.0550,0.0507, 
0.8909999,-0.7672,0.7725,0.1479,0.0000,0.7526,-0.7826,0.1494,-0.0103,-0.0544,0.0546,-0.0550,0.0513, 
0.9239998,-0.7721,0.7760,0.1481,-0.0039,0.7596,-0.7853,0.1493,-0.0048,-0.0545,0.0547,-0.0550,0.0519, 
0.9569998,-0.7754,0.7794,0.1483,-0.0073,0.7646,-0.7879,0.1493,-0.0002,-0.0545,0.0547,-0.0550,0.0523, 
0.9899998,-0.7778,0.7824,0.1485,-0.0101,0.7684,-0.7904,0.1493,0.0035,-0.0546,0.0548,-0.0550,0.0526, 
1.023,-0.7795,0.7850,0.1486,-0.0124,0.7712,-0.7925,0.1493,0.0067,-0.0546,0.0548,-0.0550,0.0529, 
1.056,-0.7808,0.7872,0.1488,-0.0143,0.7734,-0.7944,0.1493,0.0093,-0.0547,0.0548,-0.0550,0.0531, 
1.089,-0.7848,0.7914,0.1488,-0.0199,0.7779,-0.7989,0.1493,0.0154,-0.0547,0.0548,-0.0550,0.0533, 
1.122,-0.7872,0.7954,0.1489,-0.0246,0.7807,-0.8031,0.1493,0.0205,-0.0548,0.0548,-0.0550,0.0534, 
1.155,-0.7887,0.7989,0.1490,-0.0285,0.7826,-0.8069,0.1493,0.0247,-0.0548,0.0549,-0.0550,0.0535, 
1.188,-0.7898,0.8019,0.1490,-0.0318,0.7839,-0.8101,0.1494,0.0283,-0.0548,0.0549,-0.0550,0.0536, 
1.221,-0.7905,0.8045,0.1491,-0.0346,0.7848,-0.8129,0.1494,0.0312,-0.0548,0.0549,-0.0550,0.0537, 
1.254,-0.7940,0.8090,0.1491,-0.0408,0.7882,-0.8182,0.1495,0.0376,-0.0548,0.0549,-0.0550,0.0537, 
1.287,-0.7960,0.8132,0.1491,-0.0460,0.7902,-0.8230,0.1495,0.0430,-0.0548,0.0549,-0.0550,0.0537, 
1.32,-0.7971,0.8169,0.1492,-0.0504,0.7913,-0.8273,0.1496,0.0474,-0.0549,0.0549,-0.0550,0.0537, 
1.353,-0.7979,0.8201,0.1492,-0.0540,0.7920,-0.8309,0.1496,0.0512,-0.0549,0.0549,-0.0550,0.0537, 
1.386,-0.7984,0.8229,0.1492,-0.0571,0.7924,-0.8341,0.1497,0.0543,-0.0549,0.0549,-0.0550,0.0537, 
1.419,-0.8016,0.8275,0.1492,-0.0636,0.7954,-0.8396,0.1497,0.0608,-0.0549,0.0549,-0.0550,0.0537, 
1.452,-0.8035,0.8318,0.1492,-0.0690,0.7971,-0.8447,0.1497,0.0663,-0.0549,0.0549,-0.0550,0.0537, 
1.485,-0.8045,0.8356,0.1492,-0.0736,0.7979,-0.8491,0.1498,0.0708,-0.0549,0.0549,-0.0550,0.0537, 
1.518,-0.8051,0.8389,0.1493,-0.0774,0.7984,-0.8529,0.1498,0.0746,-0.0549,0.0549,-0.0550,0.0536, 
1.551,-0.8055,0.8417,0.1493,-0.0806,0.7986,-0.8562,0.1499,0.0778,-0.0549,0.0549,-0.0550,0.0536, 
1.584,-0.8088,0.8465,0.1493,-0.0873,0.8016,-0.8619,0.1499,0.0845,-0.0549,0.0549,-0.0550,0.0536, 
1.617,-0.8106,0.8509,0.1493,-0.0930,0.8031,-0.8671,0.1500,0.0901,-0.0549,0.0549,-0.0550,0.0535, 
1.65,-0.8116,0.8548,0.1493,-0.0978,0.8039,-0.8717,0.1500,0.0948,-0.0549,0.0549,-0.0550,0.0535, 
1.683,-0.8122,0.8582,0.1493,-0.1017,0.8043,-0.8756,0.1500,0.0987,-0.0549,0.0549,-0.0550,0.0535, 
1.716,-0.8126,0.8611,0.1493,-0.1050,0.8045,-0.8789,0.1500,0.1019,-0.0549,0.0549,-0.0550,0.0534, 
1.749,-0.8196,0.8692,0.1493,-0.1173,0.8082,-0.8854,0.1500,0.1095,-0.0549,0.0549,-0.0550,0.0534, 
1.782,-0.8236,0.8769,0.1493,-0.1277,0.8100,-0.8913,0.1500,0.1158,-0.0549,0.0549,-0.0550,0.0533, 
