Timestamp, upperLink1, upperLink2, upperLink3, upperLink4, lowerLink1, lowerLink2, lowerLink3, lowerLink4, gripUpperR, gripUpperL, gripLowerR, gripLowerL
0.1, -0.2035403, 0.3251548, 0.07448716, -0.00832522, 0.2936691, -0.356309, 0.1041504, 0.003071779, 0.02796772, -0.02621844, 0.02830164, -0.02753799, 
0.2, -0.2035403, 0.3251548, 0.07448716, -0.00832522, 0.2936691, -0.356309, 0.1041504, 0.003071779, 0.02796772, -0.02621844, 0.02830164, -0.02753799, 
0.3, -0.7099651, 0.7604923, 0.1435721, 0.01103048, 0.6765245, -0.7248527, 0.1800012, 0.02113594, 0.04893338, -0.05408364, 0.03930773, -0.05500001, 
0.4, -0.6949901, 0.7631801, 0.1398739, 0.005846853, 0.7089702, -0.721938, 0.1687251, 0.005166175, 0.0515117, -0.05500003, 0.05158442, -0.0506475, 
0.5, -0.7657283, 0.7909657, 0.1488838, 0.00280998, 0.7017096, -0.7437197, 0.1777955, 0.008133234, 0.05383867, -0.05485125, 0.05022333, -0.05500003, 
0.6, -0.7657283, 0.7909657, 0.1488838, 0.00280998, 0.7017096, -0.7437197, 0.1777955, 0.008133234, 0.05383867, -0.05485125, 0.05022333, -0.05500003, 
0.7, -0.7657283, 0.7909657, 0.1488838, 0.00280998, 0.7017096, -0.7437197, 0.1777955, 0.008133234, 0.05383867, -0.05485125, 0.05022333, -0.05500003, 
0.8000001, -0.7657283, 0.7909657, 0.1488838, 0.00280998, 0.7017096, -0.7437197, 0.1777955, 0.008133234, 0.05383867, -0.05485125, 0.05022333, -0.05500003, 
0.9000001, -0.7657283, 0.7909657, 0.1488838, 0.00280998, 0.7017096, -0.7437197, 0.1777955, 0.008133234, 0.05383867, -0.05485125, 0.05022333, -0.05500003, 
1, -0.7657283, 0.7909657, 0.1488838, 0.00280998, 0.7017096, -0.7437197, 0.1777955, 0.008133234, 0.05383867, -0.05485125, 0.05022333, -0.05500003, 
1.1, -0.7657283, 0.7909657, 0.1488838, 0.00280998, 0.7017096, -0.7437197, 0.1777955, 0.008133234, 0.05383867, -0.05485125, 0.05022333, -0.05500003, 
1.2, -0.7657283, 0.7909657, 0.1488838, 0.00280998, 0.7017096, -0.7437197, 0.1777955, 0.008133234, 0.05383867, -0.05485125, 0.05022333, -0.05500003, 
1.3, -0.7657283, 0.7909657, 0.1488838, 0.00280998, 0.7017096, -0.7437197, 0.1777955, 0.008133234, 0.05383867, -0.05485125, 0.05022333, -0.05500003, 
1.4, -0.7657283, 0.7909657, 0.1488838, 0.00280998, 0.7017096, -0.7437197, 0.1777955, 0.008133234, 0.05383867, -0.05485125, 0.05022333, -0.05500003, 
1.5, -0.7657283, 0.7909657, 0.1488838, 0.00280998, 0.7017096, -0.7437197, 0.1777955, 0.008133234, 0.05383867, -0.05485125, 0.05022333, -0.05500003, 
1.6, -0.7657283, 0.7909657, 0.1488838, 0.00280998, 0.7017096, -0.7437197, 0.1777955, 0.008133234, 0.05383867, -0.05485125, 0.05022333, -0.05500003, 
1.7, -0.7657283, 0.7909657, 0.1488838, 0.00280998, 0.7017096, -0.7437197, 0.1777955, 0.008133234, 0.05383867, -0.05485125, 0.05022333, -0.05500003, 
1.8, -0.7657283, 0.7909657, 0.1488838, 0.00280998, 0.7017096, -0.7437197, 0.1777955, 0.008133234, 0.05383867, -0.05485125, 0.05022333, -0.05500003, 
1.9, -0.7657283, 0.7909657, 0.1488838, 0.00280998, 0.7017096, -0.7437197, 0.1777955, 0.008133234, 0.05383867, -0.05485125, 0.05022333, -0.05500003, 
2, -0.7657283, 0.7909657, 0.1488838, 0.00280998, 0.7017096, -0.7437197, 0.1777955, 0.008133234, 0.05383867, -0.05485125, 0.05022333, -0.05500003, 
2.1, -0.7605273, 0.7893251, 0.1499998, -0.004485496, 0.7448018, -0.7763748, 0.1800011, -0.00699877, 0.05500005, -0.05302095, 0.05173288, -0.05499996, 
2.2, -0.7605273, 0.7893251, 0.1499998, -0.004485496, 0.7448018, -0.7763748, 0.1800011, -0.00699877, 0.05500005, -0.05302095, 0.05173288, -0.05499996, 
2.3, -0.7605273, 0.7893251, 0.1499998, -0.004485496, 0.7448018, -0.7763748, 0.1800011, -0.00699877, 0.05500005, -0.05302095, 0.05173288, -0.05499996, 
2.4, -0.7605273, 0.7893251, 0.1499998, -0.004485496, 0.7448018, -0.7763748, 0.1800011, -0.00699877, 0.05500005, -0.05302095, 0.05173288, -0.05499996, 
2.5, -0.7605273, 0.7893251, 0.1499998, -0.004485496, 0.7448018, -0.7763748, 0.1800011, -0.00699877, 0.05500005, -0.05302095, 0.05173288, -0.05499996, 
2.6, -0.7605273, 0.7893251, 0.1499998, -0.004485496, 0.7448018, -0.7763748, 0.1800011, -0.00699877, 0.05500005, -0.05302095, 0.05173288, -0.05499996, 
2.7, -0.7605273, 0.7893251, 0.1499998, -0.004485496, 0.7448018, -0.7763748, 0.1800011, -0.00699877, 0.05500005, -0.05302095, 0.05173288, -0.05499996, 
2.799999, -0.7605273, 0.7893251, 0.1499998, -0.004485496, 0.7448018, -0.7763748, 0.1800011, -0.00699877, 0.05500005, -0.05302095, 0.05173288, -0.05499996, 
2.899999, -0.7605273, 0.7893251, 0.1499998, -0.004485496, 0.7448018, -0.7763748, 0.1800011, -0.00699877, 0.05500005, -0.05302095, 0.05173288, -0.05499996, 
2.999999, -0.7605273, 0.7893251, 0.1499998, -0.004485496, 0.7448018, -0.7763748, 0.1800011, -0.00699877, 0.05500005, -0.05302095, 0.05173288, -0.05499996, 
3.099999, -0.7605273, 0.7893251, 0.1499998, -0.004485496, 0.7448018, -0.7763748, 0.1800011, -0.00699877, 0.05500005, -0.05302095, 0.05173288, -0.05499996, 
3.199999, -0.7605273, 0.7893251, 0.1499998, -0.004485496, 0.7448018, -0.7763748, 0.1800011, -0.00699877, 0.05500005, -0.05302095, 0.05173288, -0.05499996, 
