Timestamp, upperLink1, upperLink2, upperLink3, upperLink4, lowerLink1, lowerLink2, lowerLink3, lowerLink4, gripUpperR, gripUpperL, gripLowerR, gripLowerL,
0.1,-0.6894923,0.7632325,0.1450404,0.01303761,0.6986727,-0.7311708,0.1419838,0.007906342,0.05159286,-0.05494738,0.04810662,-0.05220346, 
0.2,-0.6894923,0.7632325,0.1450404,0.01303761,0.6986727,-0.7311708,0.1419838,0.007906342,0.05159286,-0.05494738,0.04810662,-0.05220346, 
0.3,-0.6894923,0.7632325,0.1450404,0.01303761,0.6986727,-0.7311708,0.1419838,0.007906342,0.05159286,-0.05494738,0.04810662,-0.05220346, 
0.4,-0.6894923,0.7632325,0.1450404,0.01303761,0.6986727,-0.7311708,0.1419838,0.007906342,0.05159286,-0.05494738,0.04810662,-0.05220346, 
0.5,-0.6894923,0.7632325,0.1450404,0.01303761,0.6986727,-0.7311708,0.1419838,0.007906342,0.05159286,-0.05494738,0.04810662,-0.05220346, 
0.6,-0.688672,0.7724652,0.1432202,0.006283185,0.6986727,-0.7311708,0.1419838,0.007906342,0.05159286,-0.05494738,0.04810662,-0.05220346, 
0.7,-0.7198785,0.7629184,0.1471167,0.0001745329,0.7084815,-0.7539997,0.1436455,0.001850049,0.05421524,-0.05436117,0.05344825,-0.05190476, 
0.8000001,-0.7347487,0.7838972,0.1499999,-0.008290314,0.7478735,-0.7803891,0.1484771,-0.01094321,0.05500003,-0.0520605,0.05387453,-0.05371846, 
0.9000001,-0.7373493,0.7805636,0.1482282,0.00816814,0.7621678,-0.7834957,0.1456573,-0.03097959,0.05487194,-0.05363428,0.05500009,-0.05292511, 
1,-0.7578219,0.8067959,0.1499997,0.02239257,0.7884874,-0.8039684,0.1474465,-0.05169665,0.05500002,-0.05237098,0.05494776,-0.05391588, 
1.1,-0.785276,0.8364316,0.1499999,0.03851942,0.8083492,-0.8259771,0.1498285,-0.07419395,0.055,-0.05064115,0.05478348,-0.05455915, 
1.2,-0.8077034,0.8597317,0.1500001,0.06164503,0.8211774,-0.8445125,0.1500013,-0.09655161,0.05500002,-0.05054087,0.0537785,-0.05500009, 
1.3,-0.8237081,0.8854928,0.1499999,0.08471828,0.8495564,-0.8748288,0.1500014,-0.1367465,0.05500004,-0.05005484,0.05296874,-0.05500001, 
1.4,-0.8322952,0.9037839,0.1499999,0.1123294,0.876068,-0.9047438,0.1495082,-0.1875007,0.05500003,-0.05023748,0.05391544,-0.05495461, 
1.5,-0.8026595,0.8927534,0.1414635,0.140691,0.9017418,-0.923349,0.1352374,-0.260822,0.05500004,-0.05115906,0.05500006,-0.0458215, 
